"","field","type","filename","p_f","p_g","p_l"
"1",DN7,Red,res/DN7_Red_5.00_1.00_1.00.pdf,1,1,1
"2",DN7,Red,res/DN7_Red_6.00_1.00_1.00.pdf,1,1,1
"3",DN7,Red,res/DN7_Red_7.00_1.00_1.00.pdf,1,1,1
"4",DN7,Red,res/DN7_Red_8.00_1.00_1.00.pdf,1,1,1
"5",DN7,Red,res/DN7_Red_9.00_1.00_1.00.pdf,1,1,1
"6",DN7,Red,res/DN7_Red_10.00_1.00_1.00.pdf,0.95,1,1
"7",DN7,Red,res/DN7_Red_5.00_3.00_1.00.pdf,1,1,1
"8",DN7,Red,res/DN7_Red_6.00_3.00_1.00.pdf,1,1,1
"9",DN7,Red,res/DN7_Red_7.00_3.00_1.00.pdf,1,1,1
"10",DN7,Red,res/DN7_Red_8.00_3.00_1.00.pdf,1,1,1
"11",DN7,Red,res/DN7_Red_9.00_3.00_1.00.pdf,1,1,1
"12",DN7,Red,res/DN7_Red_10.00_3.00_1.00.pdf,0.93,1,1
"13",DN7,Red,res/DN7_Red_5.00_5.00_1.00.pdf,1,1,1
"14",DN7,Red,res/DN7_Red_6.00_5.00_1.00.pdf,1,1,1
"15",DN7,Red,res/DN7_Red_7.00_5.00_1.00.pdf,1,1,1
"16",DN7,Red,res/DN7_Red_8.00_5.00_1.00.pdf,1,1,1
"17",DN7,Red,res/DN7_Red_9.00_5.00_1.00.pdf,1,1,1
"18",DN7,Red,res/DN7_Red_10.00_5.00_1.00.pdf,0.98,1,1
"19",DN7,Red,res/DN7_Red_5.00_7.00_1.00.pdf,1,1,1
"20",DN7,Red,res/DN7_Red_6.00_7.00_1.00.pdf,1,1,1
"21",DN7,Red,res/DN7_Red_7.00_7.00_1.00.pdf,1,1,1
"22",DN7,Red,res/DN7_Red_8.00_7.00_1.00.pdf,0.99,1,1
"23",DN7,Red,res/DN7_Red_9.00_7.00_1.00.pdf,1,0.99,1
"24",DN7,Red,res/DN7_Red_10.00_7.00_1.00.pdf,NA,NA,NA
"25",DN7,Red,res/DN7_Red_5.00_9.00_1.00.pdf,1,1,1
"26",DN7,Red,res/DN7_Red_6.00_9.00_1.00.pdf,1,1,1
"27",DN7,Red,res/DN7_Red_7.00_9.00_1.00.pdf,1,1,1
"28",DN7,Red,res/DN7_Red_8.00_9.00_1.00.pdf,1,1,1
"29",DN7,Red,res/DN7_Red_9.00_9.00_1.00.pdf,NA,NA,NA
"30",DN7,Red,res/DN7_Red_10.00_9.00_1.00.pdf,NA,NA,NA
"31",DN7,Red,res/DN7_Red_5.00_1.00_3.00.pdf,1,1,1
"32",DN7,Red,res/DN7_Red_6.00_1.00_3.00.pdf,1,1,1
"33",DN7,Red,res/DN7_Red_7.00_1.00_3.00.pdf,1,1,1
"34",DN7,Red,res/DN7_Red_8.00_1.00_3.00.pdf,1,1,1
"35",DN7,Red,res/DN7_Red_9.00_1.00_3.00.pdf,1,1,1
"36",DN7,Red,res/DN7_Red_10.00_1.00_3.00.pdf,0.86,1,1
"37",DN7,Red,res/DN7_Red_5.00_3.00_3.00.pdf,1,1,1
"38",DN7,Red,res/DN7_Red_6.00_3.00_3.00.pdf,1,1,1
"39",DN7,Red,res/DN7_Red_7.00_3.00_3.00.pdf,1,1,1
"40",DN7,Red,res/DN7_Red_8.00_3.00_3.00.pdf,0.97,1,1
"41",DN7,Red,res/DN7_Red_9.00_3.00_3.00.pdf,0.75,1,1
"42",DN7,Red,res/DN7_Red_10.00_3.00_3.00.pdf,NA,NA,NA
"43",DN7,Red,res/DN7_Red_5.00_5.00_3.00.pdf,1,1,1
"44",DN7,Red,res/DN7_Red_6.00_5.00_3.00.pdf,1,1,1
"45",DN7,Red,res/DN7_Red_7.00_5.00_3.00.pdf,1,0.93,1
"46",DN7,Red,res/DN7_Red_8.00_5.00_3.00.pdf,0.92,1,1
"47",DN7,Red,res/DN7_Red_9.00_5.00_3.00.pdf,NA,NA,NA
"48",DN7,Red,res/DN7_Red_10.00_5.00_3.00.pdf,NA,NA,NA
"49",DN7,Red,res/DN7_Red_5.00_7.00_3.00.pdf,1,1,1
"50",DN7,Red,res/DN7_Red_6.00_7.00_3.00.pdf,0.99,1,1
"51",DN7,Red,res/DN7_Red_7.00_7.00_3.00.pdf,0.97,0.49,0.61
"52",DN7,Red,res/DN7_Red_8.00_7.00_3.00.pdf,NA,NA,NA
"53",DN7,Red,res/DN7_Red_9.00_7.00_3.00.pdf,NA,NA,NA
"54",DN7,Red,res/DN7_Red_10.00_7.00_3.00.pdf,NA,NA,NA
"55",DN7,Red,res/DN7_Red_5.00_9.00_3.00.pdf,0.99,1,1
"56",DN7,Red,res/DN7_Red_6.00_9.00_3.00.pdf,0.98,1,1
"57",DN7,Red,res/DN7_Red_7.00_9.00_3.00.pdf,NA,NA,NA
"58",DN7,Red,res/DN7_Red_8.00_9.00_3.00.pdf,NA,NA,NA
"59",DN7,Red,res/DN7_Red_9.00_9.00_3.00.pdf,NA,NA,NA
"60",DN7,Red,res/DN7_Red_10.00_9.00_3.00.pdf,NA,NA,NA
"61",DN7,Red,res/DN7_Red_5.00_1.00_5.00.pdf,1,1,1
"62",DN7,Red,res/DN7_Red_6.00_1.00_5.00.pdf,1,1,1
"63",DN7,Red,res/DN7_Red_7.00_1.00_5.00.pdf,1,1,1
"64",DN7,Red,res/DN7_Red_8.00_1.00_5.00.pdf,1,1,1
"65",DN7,Red,res/DN7_Red_9.00_1.00_5.00.pdf,1,1,1
"66",DN7,Red,res/DN7_Red_10.00_1.00_5.00.pdf,0.97,1,1
"67",DN7,Red,res/DN7_Red_5.00_3.00_5.00.pdf,1,1,1
"68",DN7,Red,res/DN7_Red_6.00_3.00_5.00.pdf,1,1,1
"69",DN7,Red,res/DN7_Red_7.00_3.00_5.00.pdf,1,1,1
"70",DN7,Red,res/DN7_Red_8.00_3.00_5.00.pdf,0.93,1,1
"71",DN7,Red,res/DN7_Red_9.00_3.00_5.00.pdf,0.74,1,1
"72",DN7,Red,res/DN7_Red_10.00_3.00_5.00.pdf,NA,NA,NA
"73",DN7,Red,res/DN7_Red_5.00_5.00_5.00.pdf,1,1,1
"74",DN7,Red,res/DN7_Red_6.00_5.00_5.00.pdf,1,1,1
"75",DN7,Red,res/DN7_Red_7.00_5.00_5.00.pdf,0.87,1,1
"76",DN7,Red,res/DN7_Red_8.00_5.00_5.00.pdf,0.87,1,1
"77",DN7,Red,res/DN7_Red_9.00_5.00_5.00.pdf,NA,NA,NA
"78",DN7,Red,res/DN7_Red_10.00_5.00_5.00.pdf,NA,NA,NA
"79",DN7,Red,res/DN7_Red_5.00_7.00_5.00.pdf,0.97,0.35,1
"80",DN7,Red,res/DN7_Red_6.00_7.00_5.00.pdf,0.89,1,1
"81",DN7,Red,res/DN7_Red_7.00_7.00_5.00.pdf,NA,NA,NA
